"X","time_rstan","time_rinla","alpha_mean_diff_stan","beta_mean_diff_stan","tau_nu_mean_diff_stan","alpha_q_stan","beta_q_stan","tau_nu_q_stan","alpha_mean_diff_inla","beta_mean_diff_inla","tau_nu_mean_diff_inla","alpha_q_inla","beta_q_inla","tau_nu_q_inla"
"Total89",4.479,0.952997922897339,-0.0579072753229837,0.00891294700595568,-75.3913885928345,0.85325,0.19325,0.9015,-0.0602200791953726,0.00933607170108552,-76.2855201312121,0.866944962823823,0.17821009020794,0.905569426176599
"Total90",1.244,0.90369701385498,0.149090461905676,-0.031043466483537,20.7537924159092,0.20675,0.81325,0.54,0.14719488074785,-0.0304246625208712,23.0896626092689,0.208631432346249,0.809360362287528,0.537011069306267
"Total91",2.653,0.873203039169312,-0.020260855268756,0.00162229355333388,28.5056126178198,0.6235,0.4505,0.415,-0.0209176380451584,0.00177045915910257,26.8326272713167,0.630291041876428,0.44413928855601,0.417279600871589
"Total92",1.615,0.901765108108521,0.0420244279593527,-0.0100012090002737,19.8682217261454,0.34675,0.7015,0.524,0.0408474253458273,-0.00973478745955858,21.088824061632,0.345794722802338,0.703772156793145,0.511529762340817
"Total93",1.474,0.899343013763428,-0.154899674599211,0.0270205086624662,-75.0331717688019,0.88825,0.126,0.7855,-0.157606251941014,0.0276588210003196,-77.3223951594346,0.892163158625558,0.120429885571066,0.803503730620927
"Total94",0.872,0.918168067932129,-0.2204476538753,0.0538024568160867,-102.626709351127,0.7835,0.151,0.80725,-0.222987160513669,0.0547822240214101,-104.750784137476,0.785194590831703,0.152368139126089,0.81325294488898
"Total95",1.635,0.900418043136597,-0.0703810226547186,0.0113679373171285,-24.1556124772118,0.78575,0.24075,0.62725,-0.0699236212380242,0.0113514387523045,-30.2658447797127,0.789615295754403,0.237437093931637,0.648884292825966
"Total96",0.934,0.904982805252075,0.0755504628457726,-0.00368626199391581,4.67437518658596,0.355,0.5375,0.568,0.0764553227623608,-0.00328645701959979,4.72085787147566,0.351837027703673,0.536447903439142,0.577204423405421
"Total97",1.625,0.913886785507202,0.0437012790184386,-0.0104841226240563,-72.0497870003562,0.28675,0.76575,0.75975,0.0455110729586925,-0.0108025359262268,-73.5830088966402,0.294434753204962,0.762241495656859,0.764662794364126
"Total98",4.449,1.02496385574341,0.155931769307618,-0.0280566060767493,23.1327524621806,0.0555,0.92725,0.109,0.152981905005581,-0.0277971780627337,22.0976689438366,0.064491130153615,0.919371385024065,0.113501068821318
"Total99",1.623,0.937235116958618,-0.213905572642044,0.036029207885628,-16.2291406510476,0.96275,0.0485,0.7145,-0.216154179054709,0.0364347993493375,-14.3996427893924,0.95900468822003,0.0516390345623645,0.703823347775057
